region,subregion,station,abbreviation,elevation,month,precip,avg precip,pct of avg,year
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,Oct-Sep,64.6,92.33,70.0,1987
NORTH COAST,SMITH RIVER,Crescent City 1 N,CCC,40,Oct-Sep,49.21,70.46,70.0,1987
NORTH COAST,KLAMATH RIVER,Tule Lake,TLL,4035,Oct-Sep,8.38,10.54,80.0,1987
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,Oct-Sep,15.13,20.05,75.0,1987
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,Oct-Sep,13.89,21.85,64.0,1987
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,Oct-Sep,12.51,18.28,68.0,1987
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,Oct-Sep,37.41,54.09,69.0,1987
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,Oct-Sep,38.47,53.84,71.0,1987
NORTH COAST,TRINITY RIVER,Coffee Creek Ranger Station,CFF,4400,Oct-Sep,46.7,54.29,86.0,1987
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,Oct-Sep,27.27,36.85,74.0,1987
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,Oct-Sep,28.37,36.99,77.0,1987
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,Oct-Sep,,56.86,,1987
NORTH COAST,EEL RIVER,Mad River RS,MAD,2775,Oct-Sep,40.08,57.76,69.0,1987
NORTH COAST,EEL RIVER,Bridgeville 4nnw,BVL,2100,Oct-Sep,47.83,64.34,74.0,1987
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,Oct-Sep,27.49,40.09,69.0,1987
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,Oct-Sep,47.84,71.96,66.0,1987
NORTH COAST,EEL RIVER,Scotia,SCA,139,Oct-Sep,34.05,47.33,72.0,1987
NORTH COAST,EEL RIVER,Fort Bragg 5 N,FBR,120,Oct-Sep,31.32,38.38,82.0,1987
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,Oct-Sep,25.49,38.22,67.0,1987
NORTH COAST,RUSSIAN RIVER,Ukiah,UKH,633,Oct-Sep,23.05,35.98,64.0,1987
NORTH COAST,RUSSIAN RIVER,Fort Ross,FRR,112,Oct-Sep,26.55,38.33,69.0,1987
NORTH COAST,RUSSIAN RIVER,Santa Rosa,SRO,109,Oct-Sep,18.67,28.85,65.0,1987
NORTH COAST,RUSSIAN RIVER,Russian River Near Healdsburg,HEA,108,Oct-Sep,24.69,40.67,61.0,1987
SAN FRANCISCO BAY,NORTH SF BAY AREA,Angwin Pacific Union Col,APU,1815,Oct-Sep,20.01,38.84,52.0,1987
SAN FRANCISCO BAY,NORTH SF BAY AREA,Lagunitas Lake,LGT,799,Oct-Sep,28.38,49.5,57.0,1987
SAN FRANCISCO BAY,NORTH SF BAY AREA,Fairfield,FRF,40,Oct-Sep,,20.94,,1987
SAN FRANCISCO BAY,NORTH SF BAY AREA,Napa Fire Department,NSH,35,Oct-Sep,15.6,24.18,65.0,1987
SAN FRANCISCO BAY,SOUTH SF BAY AREA,Mount Hamilton,HML,4206,Oct-Sep,15.09,24.16,62.0,1987
SAN FRANCISCO BAY,SOUTH SF BAY AREA,San Jose,SNJ,67,Oct-Sep,6.78,13.64,50.0,1987
SAN FRANCISCO BAY,SOUTH SF BAY AREA,San Francisco Wb Ap,SFF,8,Oct-Sep,10.26,19.9,52.0,1987
CENTRAL COAST,SANTA CRUZ - PAJARO RIVER,Hollister,HLS,275,Oct-Sep,8.99,13.07,69.0,1987
CENTRAL COAST,SANTA CRUZ - PAJARO RIVER,Santa Cruz,CRZ,130,Oct-Sep,15.85,29.84,53.0,1987
CENTRAL COAST,SANTA CRUZ - PAJARO RIVER,Watsonville Water,WTW,95,Oct-Sep,13.19,21.53,61.0,1987
CENTRAL COAST,SALINAS RIVER,Priest Valley,PSV,2300,Oct-Sep,12.27,20.73,59.0,1987
CENTRAL COAST,SALINAS RIVER,Salinas River At Paso Robles,PAS,700,Oct-Sep,8.17,14.1,58.0,1987
CENTRAL COAST,SALINAS RIVER,San Luis Obispo Poly,SLO,315,Oct-Sep,13.45,22.47,60.0,1987
CENTRAL COAST,SALINAS RIVER,Big Sur State Park,BGS,240,Oct-Sep,31.61,40.84,77.0,1987
CENTRAL COAST,SALINAS RIVER,Salinas No2,SAP,45,Oct-Sep,,13.68,,1987
CENTRAL COAST,SANTA BARBARA AREA,Juncal Dam,JNL,2075,Oct-Sep,11.06,28.53,39.0,1987
CENTRAL COAST,SANTA BARBARA AREA,Cachuma Lake,CCH,781,Oct-Sep,9.05,19.1,47.0,1987
CENTRAL COAST,SANTA BARBARA AREA,Los Alamos,LAL,565,Oct-Sep,11.07,15.3,72.0,1987
